model_version,dataset_name,model_size,dataset_size,execution_time,load_time,B-PER_precision,B-PER_recall,B-PER_f1,I-PER_precision,I-PER_recall,I-PER_f1,overall_precision,overall_recall,overall_f1
version-12-roberta-base,ritter.txt,124057347,801,2.6174445152282715,0.42263150215148926,0.9466666666666667,0.9943977591036415,0.9699453551912568,0.9466666666666667,0.9943977591036415,0.9699453551912568,0.0,0.0,0.0
version-12-roberta-base,WNUT.conll,124057347,2868,7.234191179275513,0.42263150215148926,0.9715639810426541,0.9927360774818402,0.9820359281437127,0.9715639810426541,0.9927360774818402,0.9820359281437127,0.0,0.0,0.0
version-2-roberta-base,a.conll,124057347,424,2.309674024581909,0.865462064743042,0.642023346303502,0.9649122807017544,0.7710280373831776,0.642023346303502,0.9649122807017544,0.7710280373831776,0.0,0.0,0.0
version-2-roberta-base,b.conll,124057347,1238,3.464787244796753,0.865462064743042,0.876750700280112,0.9660493827160493,0.9192364170337738,0.876750700280112,0.9660493827160493,0.9192364170337738,0.0,0.0,0.0
version-2-roberta-base,conllpp_train.txt,124057347,10492,21.401899814605713,0.865462064743042,0.8500086400552963,0.9314523764438554,0.8888688109866282,0.8500086400552963,0.9314523764438554,0.8888688109866282,0.0,0.0,0.0
version-2-roberta-base,e.conll,124057347,98,1.0311501026153564,0.865462064743042,0.6388888888888888,0.71875,0.676470588235294,0.6388888888888888,0.71875,0.676470588235294,0.0,0.0,0.0
version-2-roberta-base,f.conll,124057347,1600,4.415765285491943,0.865462064743042,0.8130372492836676,0.8888018794048551,0.8492330714552937,0.8130372492836676,0.8888018794048551,0.8492330714552937,0.0,0.0,0.0
version-2-roberta-base,g.conll,124057347,1710,4.548968076705933,0.865462064743042,0.7850911974623315,0.8863025962399284,0.832632464255677,0.7850911974623315,0.8863025962399284,0.832632464255677,0.0,0.0,0.0
version-2-roberta-base,h.conll,124057347,1600,4.268502473831177,0.865462064743042,0.6821144098479363,0.8299559471365638,0.7488076311605721,0.6821144098479363,0.8299559471365638,0.7488076311605721,0.0,0.0,0.0
version-2-roberta-base,KAGGLE.csv,124057347,31382,64.71459555625916,0.865462064743042,0.66517095367503,0.7822370865849126,0.718969874991461,0.66517095367503,0.7822370865849126,0.718969874991461,0.0,0.0,0.0
